ID_estudiante;género;edad;horas_estudio_día;horas_sueño;horas_uso_smartphone;horas_redes_sociales;horas_youtube;horas_videojuego;horas_descanso_día;g_ingesta_café;horas_ejercicio;tareas_completadas;porcentaje_asistencia;nivel_stress;puntuación_enfoque;calificación_final;puntuación_productividad
1;femenino;23;4,35;3,63;3,38;2,73;1,83;5,26;6;0,35;1,85;2;57,21;10;57;81,87;33,78
2;masculino;20;6,14;6,58;5,48;1,51;3,13;1,73;13;0,40;0,47;10;91,27;10;49;60,90;48,99
3;femenino;29;4,98;3,26;4,83;3,63;0,18;4,71;1;0,42;1,70;8;63,14;2;38;86,22;36,60
4;femenino;27;3,19;4,58;10,06;3,95;5,75;2,52;9;0,18;0,47;18;40,51;6;50;71,77;19,87
5;masculino;24;7,67;6,21;3,02;1,59;5,46;5,65;8;0,44;1,75;7;45,53;6;41;90,13;52,90
6;otro;29;7,18;3,52;4,02;3,74;1,42;0,16;10;0,39;0,20;3;47,58;10;70;59,48;47,31
7;femenino;21;9,06;6,36;11,45;5,99;2,20;4,44;14;0,09;0,47;15;43,50;8;35;62,71;41,23
8;femenino;23;6,37;4,86;3,31;1,37;4,36;5,13;2;0,15;1,72;17;75,22;6;59;52,22;53,81
9;masculino;26;4,19;4,87;9,66;2,87;0,10;3,38;13;0,46;0,70;11;44,79;3;39;76,15;25,99
10;femenino;19;7,28;9,56;2,13;0,81;1,35;2,55;7;0,42;1,78;6;79,15;10;73;88,53;73,18
11;masculino;23;6,38;7,83;7,25;1,72;3,08;1,36;12;0,12;0,77;2;54,99;10;82;76,52;55,34
12;masculino;27;6,36;9,51;1,56;3,46;2,18;0,20;11;0,22;1,25;13;86,60;10;92;97,36;77,35
13;masculino;27;8,57;7,03;5,21;7,80;0,66;5,38;8;0,20;0,43;3;77,02;3;86;53,59;78,35
14;masculino;24;9,15;9,35;11,49;5,59;3,33;0,57;11;0,50;0,80;7;93,99;4;78;97,90;76,03
15;masculino;21;2,21;8,86;7,89;7,45;4,93;5,50;4;0,06;1,90;6;67,85;8;96;49,08;47,86
16;otro;20;3,48;9,98;2,89;0,84;1,39;3,49;4;0,19;1,97;10;63,49;5;97;58,24;67,31
17;femenino;24;6,68;6,52;9,80;7,54;1,34;3,08;12;0,10;0,52;1;59,70;2;87;73,23;59,99
18;masculino;24;5,79;7,87;8,03;4,09;0,42;4,52;1;0,06;1,08;4;50,91;10;77;56,26;49,36
19;masculino;19;6,70;4,12;11,17;2,26;3,33;2,94;2;0,17;1,18;19;60,01;8;80;79,47;42,69
20;femenino;22;4,61;9,58;3,13;6,76;2,43;2,27;3;0,50;0,45;5;40,50;4;32;62,96;47,04
21;masculino;21;4,42;5,79;1,89;4,81;3,79;5,98;13;0,10;0,52;19;94,71;10;70;60,95;52,60
22;femenino;18;1,62;9,42;7,80;0,73;0,21;4,86;4;0,16;0,83;4;98,42;7;33;84,31;32,60
23;femenino;24;6,42;3,70;11,01;4,28;3,84;4,09;2;0,24;1,02;1;94,13;8;47;82,13;35,45
24;femenino;28;2,17;6,61;9,44;5,14;5,59;5,93;3;0,17;1,42;9;44,19;6;65;81,60;27,40
25;masculino;22;6,87;3,01;5,23;0,14;4,93;0,38;3;0,07;0,28;14;48,52;9;61;84,80;40,96
26;masculino;18;9,69;5,91;5,46;4,40;2,07;4,02;10;0,07;1,88;14;89,64;8;62;96,26;68,64
27;masculino;28;2,94;3,58;4,32;2,91;0,66;1,17;9;0,19;1,17;1;69,88;8;99;96,10;43,84
28;masculino;21;1,85;6,14;11,05;3,65;3,23;4,12;4;0,17;0,55;0;43,56;5;97;77,43;33,48
29;masculino;17;0,73;6,89;9,83;0,87;1,70;0,97;13;0,26;1,82;3;59,49;4;31;53,44;14,94
30;femenino;28;4,10;8,97;3,58;4,02;0,06;4,15;3;0,48;0,28;11;61,87;7;93;58,80;62,43
31;femenino;26;2,54;5,07;4,19;7,88;2,45;0,93;6;0,17;1,37;19;78,51;9;45;86,98;29,18
32;otro;22;5,17;6,97;9,01;5,90;3,24;5,26;5;0,46;1,68;13;43,84;10;48;95,80;32,14
33;femenino;29;5,48;3,47;5,38;7,42;4,65;5,53;10;0,27;1,33;0;94,18;4;31;74,72;39,03
34;masculino;28;3,82;9,39;7,51;2,22;5,88;2,71;6;0,36;1,37;11;45,32;5;89;71,59;54,18
35;femenino;25;7,62;6,16;2,29;3,06;5,20;0,92;14;0,49;0,92;6;62,81;7;31;74,61;52,21
36;masculino;17;9,10;4,77;10,01;5,19;3,25;3,04;7;0,47;0,23;14;42,29;2;58;60,53;53,17
37;masculino;27;2,51;6,24;6,90;5,92;4,84;0,61;14;0,06;0,88;17;75,74;2;71;59,07;43,35
38;femenino;27;8,44;6,37;10,00;2,43;4,98;2,87;13;0,42;0,53;8;93,89;9;69;59,65;59,01
39;femenino;26;1,75;8,20;8,72;2,78;5,80;2,72;1;0,41;1,07;19;92,55;9;36;46,07;26,24
40;femenino;28;2,67;9,82;5,43;1,05;1,48;1,40;12;0,32;0,55;6;67,38;6;47;59,29;42,64
41;masculino;28;5,83;4,30;8,33;5,43;1,51;3,99;5;0,45;1,10;13;52,89;4;37;71,49;33,27
42;masculino;19;3,41;3,38;1,19;2,79;1,31;0,01;14;0,13;0,08;6;52,30;7;59;65,79;35,68
43;masculino;28;0,90;7,59;5,52;1,11;5,41;4,94;12;0,46;1,93;9;48,27;10;91;74,20;35,67
